date,city,country,temp,feels_like,humidity,windspeed,pressure,description,temp_score,humidity_score,wind_score,pressure_score,weather_score
Fri May 30 19:41:49 2025,Москва,RU,21.86,21.28,45,1.57,1011,Облачно с прояснениями,1.0,1.0,1.0,0.8,9.5
Fri May 30 19:45:29 2025,Кемерово,RU,13.83,13.41,82,5.0,1011,Переменная облачность,0.58,0.78,1.0,0.8,7.69
Fri May 30 19:51:33 2025,Токио,JP,15.91,15.49,74,8.75,1006,Облачно с прояснениями,0.79,0.86,0.62,0.3,6.51
Fri May 30 19:53:29 2025,Москва,RU,21.3,20.69,46,1.57,1011,Облачно с прояснениями,1.0,1.0,1.0,0.8,9.5
Fri May 30 19:52:39 2025,Москва,RU,21.3,20.69,46,1.57,1011,Облачно с прояснениями,1.0,1.0,1.0,0.8,9.5
Fri May 30 19:56:46 2025,Токио,JP,15.91,15.49,74,8.75,1006,Облачно с прояснениями,0.79,0.86,0.62,0.3,6.51
Fri May 30 20:00:58 2025,Токио,JP,15.91,15.49,74,8.75,1006,Небольшой дождь,0.79,0.86,0.62,0.3,6.51
Fri May 30 20:08:19 2025,Токио,JP,15.91,15.49,74,8.75,1006,Дождь,0.79,0.86,0.62,0.3,6.51
Fri May 30 20:11:49 2025,Токио,JP,15.91,15.49,74,8.75,1006,Дождь,0.79,0.86,0.62,0.3,6.51
Fri May 30 20:14:15 2025,Токио,JP,15.91,15.49,74,8.75,1006,Дождь,0.79,0.86,0.62,0.3,6.51
Fri May 30 20:25:11 2025,Токио,JP,15.91,15.49,74,9.26,1006,Небольшой дождь,0.79,0.86,0.57,0.3,6.41
Fri May 30 20:28:47 2025,Токио,JP,15.91,15.49,74,9.26,1006,Небольшой дождь,0.79,0.86,0.57,0.3,6.41
Fri May 30 20:39:29 2025,Токио,JP,15.9,15.48,74,9.26,1005,Дождь,0.79,0.86,0.57,0.2,6.16
Fri May 30 20:57:04 2025,Токио,JP,15.9,15.48,74,10.29,1005,Небольшой дождь,0.79,0.86,0.47,0.2,5.96
Sat May 31 13:36:15 2025,Токио,JP,16.25,16.02,80,10.29,998,Облачно с прояснениями,0.82,0.8,0.47,-0.5,4.15
Sat May 31 13:35:13 2025,Москва,RU,25.16,25.01,49,2.59,1009,Пасмурно,0.88,1.0,1.0,0.6,8.64
Sat May 31 13:28:19 2025,Санкт-Петербург,RU,16.71,16.34,73,6.0,1004,Облачно с прояснениями,0.87,0.87,0.9,0.1,6.84
Sat May 31 13:41:00 2025,Пекин,CN,21.94,21.63,55,1.57,1008,Пасмурно,1.0,1.0,1.0,0.5,8.75
Sat May 31 13:47:09 2025,Токио,JP,16.11,15.87,80,12.35,998,Облачно с прояснениями,0.81,0.8,0.27,-0.5,3.72
Sat May 31 13:50:14 2025,Москва,RU,24.24,23.95,47,2.59,1009,Пасмурно,0.98,1.0,1.0,0.6,8.94
Sat May 31 16:11:00 2025,Токио,JP,16.5,16.14,74,6.17,999,Облачно с прояснениями,0.85,0.86,0.88,-0.4,5.46
Sat May 31 16:19:41 2025,Токио,JP,16.35,16.03,76,7.72,999,Облачно с прояснениями,0.84,0.84,0.73,-0.4,5.08
Sat May 31 16:29:26 2025,Москва,US,15.73,14.82,56,0.45,1016,Пасмурно,0.77,1.0,1.0,1.0,9.31
Sat May 31 16:36:32 2025,Токио,JP,16.35,16.05,77,7.72,1000,Облачно с прояснениями,0.84,0.83,0.73,-0.3,5.31
Sat May 31 16:27:22 2025,Москва,RU,23.4,23.7,73,3.37,1008,Небольшой дождь,1.0,0.87,1.0,0.5,8.43
Fri Jun  6 11:43:02 2025,Токио,JP,24.92,25.06,61,10.29,1011,Облачно с прояснениями,0.91,0.99,0.47,0.8,8.14
Fri Jun  6 11:54:08 2025,Токио,JP,24.51,24.66,63,8.75,1011,Облачно с прояснениями,0.95,0.97,0.62,0.8,8.51
Fri Jun  6 11:58:04 2025,Москва,US,9.44,9.44,72,0.0,1014,Ясно,0.14,0.88,1.0,1.0,7.12
Fri Jun  6 11:53:42 2025,Москва,RU,22.24,22.24,66,4.07,1012,Пасмурно,1.0,0.94,1.0,0.9,9.6
Fri Jun  6 12:00:37 2025,Токио,JP,24.51,24.69,64,8.75,1011,Облачно с прояснениями,0.95,0.96,0.62,0.8,8.49
Fri Jun  6 12:30:02 2025,Токио,JP,24.18,24.32,64,8.23,1011,Облачно с прояснениями,0.98,0.96,0.68,0.8,8.7
Sun Jun 15 15:30:03 2025,Токио,JP,26.35,26.35,85,1.57,1001,Дождь,0.76,0.75,1.0,-0.2,5.65
Sun Jun 15 15:48:46 2025,Токио,JP,26.08,26.08,86,2.57,1001,Небольшой дождь,0.79,0.74,1.0,-0.2,5.72
Sun Jun 15 15:57:10 2025,Токио,JP,26.08,26.08,87,2.57,1001,Облачно с прояснениями,0.79,0.73,1.0,-0.2,5.69
